Size        Rss         Pss         Clean       Dirty       Clean       Dirty       Swap        SwapPss     Counts      Category                         Name
296         224         13          188         32          0           4           0           0           4           .so                              /system/lib64/libEGL.so
1032        84          8           64          20          0           0           0           0           4           .so                              /system/lib64/libFillpSo.z.so
344         72          5           64          8           0           0           0           0           4           .so                              /system/lib64/libGLESv3.so
16          16          0           8           8           0           0           0           0           4           .so                              /system/lib64/lib_kccllockopt.so
40          24          1           16          8           0           0           0           0           4           .so                              /system/lib64/libabsl_base.z.so
16          12          0           4           8           0           0           0           0           4           .so                              /system/lib64/libabsl_spinlock_wait.z.so
72          36          2           24          12          0           0           0           0           4           .so                              /system/lib64/libabsl_time.z.so
104         40          2           28          12          0           0           0           0           4           .so                              /system/lib64/libabsl_time_zone.z.so
276         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/libaccessibleability.z.so
88          16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libaccount_logout_extension.z.so
984         92          2           60          32          0           0           0           0           4           .so                              /system/lib64/libace_ndk.z.so
60          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libaction_extension.z.so
72          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libadsservice_extension.z.so
132         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libani_helpers.z.so
1928        112         3           0           112         0           0           0           0           4           .so                              /system/lib64/libans_innerkits.z.so
88          48          1           32          16          0           0           0           0           4           .so                              /system/lib64/libapp_domain_verify_common.z.so
120         48          1           36          12          0           0           0           0           4           .so                              /system/lib64/libapp_domain_verify_mgr_client.z.so
304         152         10          140         8           0           4           0           0           4           .so                              /system/lib64/libapp_util.z.so
24          16          0           8           8           0           0           0           0           4           .so                              /system/lib64/libapplication_context_manager.z.so
56          32          4           20          12          0           0           0           0           4           .so                              /system/lib64/libappspawn_client.z.so
16          12          4           4           4           0           4           0           0           4           .so                              /system/lib64/libappspawn_helper.z.so
16          12          0           4           8           0           0           0           0           4           .so                              /system/lib64/libappspawn_stub_empty.so
19780       372         13          0           372         0           0           0           0           4           .so                              /system/lib64/libark_jsoptimizer.so
30324       988         35          0           988         0           0           0           0           4           .so                              /system/lib64/libark_llvmcodegen.so
116         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libarkaotmanager.so
2940        108         3           0           108         0           0           0           0           4           .so                              /system/lib64/libarkencoder.so
11676       208         7           0           208         0           0           0           0           4           .so                              /system/lib64/libarkruntime.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libarktarget_options.z.so
976         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/libarktsassembler.so
304         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libarktsbase.so
3000        132         4           0           132         0           0           0           0           4           .so                              /system/lib64/libarktscompiler.so
476         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libarktsfile.so
284         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libarktsziparchive.so
1956        156         4           64          92          0           0           0           0           4           .so                              /system/lib64/libarkweb_core_loader_glue.z.so
44          24          0           16          8           0           0           0           0           4           .so                              /system/lib64/libarkweb_glue_base.z.so
120         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libasset_sdk.dylib.so
